crit1,crit2,crit3,success,suicide,property,claimed,INT_LOG,INT_IDEO,INT_ANY
1,1,1,1,0,1,,0,1,1
1,1,1,1,0,1,,0,1,1
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,1,0,1,,-9,-9,1
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,1,0,-9,0,-9,-9,-9
1,1,1,1,0,1,0,-9,-9,-9
1,1,0,1,0,1,,0,1,1
1,1,1,1,0,0,,0,1,1
1,1,1,1,0,1,,-9,-9,1
1,1,1,1,0,1,,0,1,1
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,1,0,0,,0,0,0
1,1,1,1,0,1,,0,0,0
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,1,0,0,,0,0,0
1,1,1,1,0,1,,-9,-9,1
1,1,1,1,0,0,,1,1,1
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,1,0,1,,-9,-9,1
1,1,1,1,0,1,,-9,-9,1
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,0,0,0,0,-9,-9,-9
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,1,0,1,,-9,-9,1
1,1,1,0,0,0,,0,1,1
1,1,0,1,0,1,,-9,-9,1
1,1,1,1,0,0,,0,0,0
1,1,1,1,0,1,,0,0,0
1,1,1,1,0,0,1,0,0,0
1,1,1,1,0,1,,0,1,1
1,1,1,1,0,1,,0,1,1
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,1,0,1,,0,0,0
1,1,1,1,0,1,,0,0,0
1,1,1,1,0,1,,0,0,0
1,1,1,1,0,0,,0,0,1
1,1,1,1,0,1,,0,0,0
1,1,1,1,0,1,,0,0,0
1,1,1,0,0,0,,-9,-9,1
1,1,1,1,0,1,,0,1,1
1,1,1,1,0,1,,0,0,0
1,1,1,1,0,1,,0,0,0
1,1,1,1,0,1,,0,1,1
1,1,0,1,0,1,,0,1,1
1,1,1,1,0,0,,0,-9,-9
1,1,0,1,0,1,,0,0,0
1,1,1,1,0,1,0,-9,-9,-9
1,1,0,1,0,1,,-9,-9,-9
1,1,1,1,0,1,,-9,-9,1
1,1,0,1,0,0,,0,0,1
1,1,1,1,0,0,,0,0,1
1,1,0,1,0,1,,0,1,1
1,1,1,1,0,1,,-9,-9,-9
1,1,1,1,0,1,,0,0,1
1,1,1,0,0,0,0,-9,-9,-9
1,1,1,1,0,1,,0,1,1
1,1,1,1,0,0,,1,1,1
1,1,1,0,0,0,0,-9,-9,-9
1,1,1,1,0,0,,0,0,0
1,1,1,1,0,1,,-9,-9,1
1,1,1,1,0,1,,-9,-9,1
1,1,1,1,0,1,,-9,-9,1
1,1,1,1,0,1,,-9,-9,-9
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,1,0,1,0,-9,-9,-9
1,1,0,1,0,0,,0,1,1
1,1,0,1,0,0,,0,0,1
1,1,1,1,0,1,0,0,0,0
1,1,1,1,0,1,0,0,0,0
1,1,1,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0
1,1,0,1,0,0,,0,1,1
1,1,1,1,0,1,,-9,-9,-9
1,1,0,1,0,1,,0,1,1
1,1,1,1,0,0,,-9,-9,-9
1,1,1,0,0,0,,0,1,1
1,1,1,1,0,0,0,0,0,0
1,1,1,1,0,0,,0,0,0
1,1,1,1,0,1,,-9,-9,1
1,1,1,1,0,1,1,0,0,0
1,1,1,1,0,0,,0,0,1
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,1,0,1,,-9,-9,-9
1,1,1,0,0,-9,0,0,0,0
1,1,1,1,0,1,,-9,-9,-9
1,1,0,1,0,1,,0,1,1
1,1,1,1,0,0,,0,0,0
1,1,1,0,0,1,,0,0,0
1,1,1,1,0,1,,0,0,0
1,1,1,1,0,1,,1,0,1
1,1,1,1,0,1,,-9,-9,1
1,1,1,1,0,1,,-9,-9,-9
1,1,1,1,0,1,,-9,-9,-9
1,1,0,1,0,0,,0,1,1
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,0,0,0,0,-9,-9,-9
1,1,1,1,0,1,0,-9,-9,-9
1,0,1,1,0,0,,0,0,1
1,1,1,1,0,1,,-9,-9,-9
1,1,0,1,0,1,,-9,-9,-9
1,1,1,1,0,1,,-9,-9,-9
1,1,1,1,0,1,,0,1,1
1,1,1,1,0,0,,0,0,0
1,1,1,1,0,1,,0,1,1
1,1,1,1,0,0,,0,0,1
1,1,1,1,0,1,0,0,0,0
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,1,0,1,,0,0,0
1,1,1,1,0,1,,0,0,0
1,1,1,1,0,1,,0,1,1
1,1,1,1,0,1,,0,0,0
1,1,1,1,0,-9,0,-9,-9,-9
1,1,1,0,0,0,,0,0,0
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,1,0,1,,0,0,0
1,1,1,1,0,-9,0,-9,-9,-9
1,1,1,1,0,1,,0,1,1
1,1,1,1,0,1,0,0,1,1
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,1,0,1,,0,0,0
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,1,0,1,,-9,-9,1
1,1,1,1,0,1,,-9,-9,1
1,1,1,1,0,1,,-9,-9,-9
1,1,1,1,0,1,,0,0,0
1,1,1,1,0,1,,-9,-9,1
1,1,1,0,0,1,,0,0,0
1,1,1,1,0,1,,1,0,1
1,1,1,1,0,0,,-9,-9,-9
1,1,1,1,0,1,1,0,0,0
1,1,1,1,0,-9,0,-9,-9,-9
1,1,0,1,0,0,,-9,-9,-9
1,1,0,1,0,1,,-9,-9,-9
1,1,1,1,0,1,,-9,-9,-9
1,1,1,1,0,1,,-9,-9,-9
1,1,1,1,0,1,,0,1,1
1,1,1,1,0,1,,0,0,0
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,1,0,1,,0,0,0
1,1,1,1,0,1,,-9,-9,-9
1,1,1,1,0,0,0,0,0,0
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,0,0,0,,0,1,1
1,1,0,1,0,1,,0,1,1
1,1,0,1,0,1,,0,1,1
1,1,1,1,0,1,,-9,-9,-9
1,1,1,1,0,1,,-9,-9,-9
1,1,0,1,0,0,,-9,-9,-9
1,1,1,1,0,0,,1,1,1
1,1,1,1,0,1,0,0,0,0
1,1,1,1,0,1,,0,0,0
1,1,1,1,0,1,,0,0,0
1,1,1,1,0,1,,0,1,1
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,0,0,0,0,0,0,0
1,1,1,1,0,-9,0,-9,-9,-9
1,1,1,1,0,0,,0,0,0
1,1,1,0,0,0,,0,0,0
1,1,1,1,0,1,,0,0,0
1,1,1,1,0,1,,-9,-9,1
1,1,1,1,0,1,1,0,0,0
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,1,0,-9,0,-9,-9,-9
1,1,1,1,0,1,,0,1,1
1,1,1,1,0,1,,0,0,0
1,1,1,1,0,1,,-9,-9,-9
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,1,0,1,1,0,0,0
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,1,0,-9,0,-9,-9,-9
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,1,0,-9,0,-9,-9,-9
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,1,0,1,1,0,0,0
1,1,0,1,0,1,,0,0,0
1,1,1,1,0,1,1,0,0,0
1,1,1,1,0,1,1,0,0,0
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,1,0,0,0,-9,-9,-9
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,0,0,0,0,-9,-9,-9
1,1,1,1,0,1,,0,0,0
1,1,1,1,0,1,,0,1,1
1,1,1,1,0,0,,0,1,1
1,1,0,1,0,1,,0,1,1
1,1,1,0,0,0,0,-9,-9,-9
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,0,0,0,0,-9,-9,-9
1,1,1,1,0,1,,-9,-9,1
1,1,1,1,0,1,,0,0,0
1,1,1,1,0,1,,-9,-9,-9
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,0,0,0,0,-9,-9,-9
1,1,1,1,0,-9,0,-9,-9,-9
1,1,1,0,0,0,0,-9,-9,-9
1,1,1,1,0,1,,-9,-9,1
1,1,1,1,0,1,,-9,-9,-9
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,1,0,1,1,0,0,0
1,1,1,1,0,-9,0,-9,-9,-9
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,1,0,1,,0,0,0
1,1,1,0,0,0,,0,1,1
1,1,1,1,0,1,,-9,-9,1
1,1,1,1,0,1,1,0,0,0
1,1,1,1,0,1,,-9,-9,-9
1,1,1,0,0,1,,0,0,0
1,1,1,1,0,1,1,0,0,0
1,1,1,0,0,0,,-9,-9,-9
1,1,1,1,0,1,,-9,-9,-9
1,1,1,1,0,1,1,0,0,0
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,1,0,0,,-9,-9,1
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,0,0,0,,0,0,0
1,1,1,1,0,1,,-9,-9,-9
1,1,1,1,0,1,,0,1,1
1,1,0,1,0,1,,-9,-9,1
1,1,1,1,0,0,,0,1,1
1,1,1,1,0,1,,-9,-9,1
1,1,1,1,0,1,,-9,-9,-9
1,1,1,1,0,1,,-9,-9,1
1,1,1,1,0,1,,-9,-9,1
1,1,1,0,0,1,,-9,-9,1
1,1,1,1,0,1,1,0,0,0
1,1,1,1,0,1,,-9,-9,-9
1,1,1,1,0,0,,0,0,0
1,1,1,0,0,0,0,-9,-9,-9
1,1,0,1,0,0,,0,0,1
1,1,1,1,0,0,,0,1,1
1,1,1,1,0,1,,-9,-9,-9
1,1,1,1,0,1,,-9,-9,-9
1,1,0,1,0,1,,0,0,1
1,1,1,0,0,0,0,-9,-9,-9
1,1,1,1,0,0,,0,1,1
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,1,0,1,,-9,-9,-9
1,1,1,1,0,1,,0,0,0
1,1,1,1,0,1,,0,0,0
1,1,1,1,0,1,,0,0,0
1,1,1,1,0,1,,-9,-9,-9
1,1,1,1,0,1,,-9,-9,-9
1,1,1,1,0,1,,0,0,1
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,1,0,1,,0,0,0
1,1,1,1,0,1,,-9,-9,-9
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,1,0,-9,0,-9,-9,-9
1,1,1,0,0,0,0,-9,-9,-9
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,1,0,1,,0,0,0
1,1,1,0,0,0,0,-9,-9,-9
1,1,1,0,0,1,,0,1,1
1,1,1,1,0,1,1,0,0,0
1,1,1,1,0,1,1,0,0,0
1,1,1,1,0,1,,-9,-9,-9
1,1,1,1,0,1,1,0,0,0
1,1,1,0,0,0,0,-9,-9,-9
1,1,1,1,0,1,,-9,-9,-9
1,1,1,1,0,1,,0,1,1
1,1,1,1,0,1,,1,1,1
1,1,1,1,0,1,1,0,0,0
1,1,1,1,0,1,,0,1,1
1,1,1,1,0,1,,-9,-9,-9
1,1,1,1,0,1,1,0,0,0
1,1,1,1,0,1,,0,0,0
1,1,1,1,0,1,1,0,0,0
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,1,0,-9,0,-9,-9,-9
1,1,0,1,0,0,,0,0,1
1,1,0,1,0,0,,0,0,1
1,1,1,1,0,1,,-9,-9,-9
1,1,1,1,0,1,,0,0,0
1,1,1,1,0,1,,0,0,0
1,1,1,1,0,1,1,0,0,0
1,0,1,1,0,1,0,0,0,0
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,1,0,1,,0,1,1
1,1,1,1,0,1,,0,0,0
1,1,1,1,0,0,,0,0,0
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,1,0,1,,0,0,0
1,1,1,1,0,1,,0,0,0
1,1,0,1,0,0,,0,0,1
1,1,1,1,0,1,,0,0,1
1,1,0,1,0,0,,0,0,1
1,1,0,1,0,0,,0,0,1
1,1,1,1,0,1,,0,0,0
1,1,1,1,0,0,,-9,-9,1
1,1,1,1,0,0,,0,0,1
1,1,1,1,0,1,,-9,-9,-9
1,1,0,1,0,0,,0,0,1
1,1,1,1,0,0,,0,0,0
1,1,1,1,0,1,,0,0,0
1,1,1,1,0,1,,-9,-9,-9
1,1,1,1,0,1,,-9,-9,-9
1,1,1,1,0,1,,0,1,1
1,1,1,1,0,1,,0,1,1
1,1,1,1,0,1,,0,1,1
1,1,1,1,0,1,,0,1,1
1,1,1,1,0,1,,0,1,1
1,1,1,1,0,1,,0,1,1
1,1,1,1,0,1,,0,1,1
1,1,1,1,0,1,,0,1,1
1,1,1,1,0,1,,0,1,1
1,1,1,1,0,1,,0,1,1
1,1,1,1,0,1,,0,1,1
1,1,1,1,0,1,,0,1,1
1,1,1,1,0,1,,0,1,1
1,1,1,1,0,1,,0,1,1
1,1,1,1,0,1,,0,1,1
1,1,1,0,0,0,0,-9,-9,-9
1,1,1,1,0,1,,0,0,0
1,1,1,1,0,1,,-9,-9,1
1,1,1,1,0,1,,-9,-9,-9
1,1,1,1,0,1,,1,1,1
1,1,0,1,0,0,,0,0,1
1,1,1,1,0,1,,0,0,1
1,1,1,1,0,1,,0,0,0
1,1,1,0,0,0,,0,0,0
1,1,1,1,0,1,,0,0,1
1,1,1,1,0,0,,0,0,0
1,1,1,1,0,1,1,0,0,0
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,1,0,0,,0,0,0
1,1,1,1,0,1,,0,0,0
1,1,1,1,0,1,,0,0,0
1,1,0,1,0,0,,0,0,1
1,1,0,1,0,0,,0,0,1
1,1,1,1,0,1,0,0,0,0
1,1,1,0,0,0,,-9,-9,1
1,1,1,1,0,0,,-9,-9,1
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,0,0,0,0,-9,-9,-9
1,1,0,1,0,0,,0,0,1
1,1,1,0,0,0,,0,0,1
1,1,0,1,0,1,,0,0,1
1,1,1,1,0,1,1,-9,-9,-9
1,1,1,1,0,0,,-9,-9,1
1,1,1,1,0,1,,0,1,1
1,1,0,1,0,1,,0,0,1
1,1,1,0,0,1,,-9,-9,1
1,1,1,0,0,1,,-9,-9,1
1,1,0,1,0,0,,0,0,1
1,1,0,1,0,0,,0,0,1
1,1,0,1,0,0,,0,0,1
1,1,1,1,0,1,,0,1,1
1,1,1,1,0,1,,-9,-9,1
1,1,1,1,0,0,,-9,-9,1
1,1,0,1,0,0,,0,0,1
1,1,1,1,0,1,,0,0,0
1,1,0,1,0,0,,0,0,1
1,1,1,1,0,0,,0,0,1
1,1,1,1,0,0,0,-9,-9,-9
1,1,1,1,0,1,,-9,-9,1
1,1,1,0,0,0,,0,1,1
1,1,1,1,0,1,,0,1,1
1,1,1,0,0,0,,-9,-9,-9
1,1,1,1,0,1,,0,1,1
1,1,1,1,0,1,,0,0,0
1,1,1,1,0,1,,0,0,0
1,1,1,1,0,1,,0,0,0
1,1,1,0,0,0,1,0,0,0
1,1,0,1,0,0,,0,0,1
1,1,1,1,0,1,,0,0,1
1,1,0,1,0,0,,0,0,1
1,1,1,0,0,0,,1,1,1
1,1,0,1,0,0,,0,0,1
1,1,1,0,0,1,,0,0,1
1,1,1,1,0,0,,0,0,1
1,1,1,1,0,-9,0,-9,-9,-9
1,1,0,1,0,1,,0,0,1
1,1,1,0,0,0,,0,1,1
1,1,1,1,0,1,,0,0,0
1,1,1,1,0,1,,0,0,1
1,1,0,1,0,1,,-9,-9,-9
1,1,1,1,0,1,,0,1,1
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,1,0,1,,-9,-9,1
1,1,1,1,0,1,,0,0,0
1,1,1,1,0,0,,0,0,1
1,1,0,1,0,0,,0,0,1
1,1,0,1,0,0,,0,0,1
1,1,0,1,0,0,,0,0,1
1,1,1,1,0,1,,0,0,0
1,1,1,1,0,1,,0,1,1
1,1,1,1,0,0,,0,0,1
1,1,1,1,0,1,,0,0,1
1,1,1,1,0,0,,0,0,1
1,1,0,1,0,1,,0,0,1
1,1,1,1,0,0,,1,1,1
1,1,1,1,0,1,,0,0,0
1,1,1,1,0,0,,0,0,1
1,1,1,1,0,1,,0,0,0
1,1,1,1,0,1,,0,0,0
1,1,1,1,0,1,,0,0,1
1,1,1,1,0,0,,0,0,0
1,1,1,1,0,1,,-9,-9,1
1,1,1,1,0,1,,-9,-9,1
1,1,1,1,0,1,,-9,-9,1
1,1,1,0,0,0,,-9,-9,-9
1,1,0,1,0,0,,0,0,1
1,1,0,1,0,0,,0,0,1
1,1,1,1,0,1,,0,1,1
1,1,1,0,0,0,0,-9,-9,-9
1,1,1,1,0,0,,0,0,1
1,1,1,1,0,0,,0,1,1
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,1,0,1,,0,0,0
1,1,1,1,0,1,,-9,-9,-9
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,1,0,-9,0,-9,-9,-9
1,1,1,1,0,1,,-9,-9,-9
1,1,1,1,0,1,,-9,-9,-9
1,1,0,1,0,0,,0,0,1
1,1,1,1,0,1,,-9,-9,1
1,1,1,1,0,1,,-9,-9,1
1,1,1,1,0,1,,0,0,0
1,1,1,1,0,1,,1,1,1
1,1,1,1,0,0,,0,0,1
1,1,0,1,0,1,,0,0,1
1,1,0,1,0,1,,0,0,1
1,1,0,1,0,0,,0,0,1
1,1,1,1,0,0,,1,1,1
1,1,1,1,0,0,,0,0,1
1,1,1,1,0,1,,0,1,1
1,1,1,1,0,1,,0,1,1
1,1,0,1,0,0,,0,0,1
1,1,0,1,0,1,,-9,-9,1
1,1,1,1,0,-9,0,-9,-9,-9
1,1,1,1,0,1,,0,0,1
1,1,0,1,0,0,,0,0,1
1,1,1,1,0,1,,0,1,1
1,1,1,1,0,1,,0,0,1
1,1,1,1,0,1,1,0,0,0
1,1,1,1,0,1,,-9,-9,-9
1,1,0,1,0,0,,0,0,1
1,1,1,1,0,0,,0,0,1
1,1,1,1,0,1,,0,1,1
1,1,0,1,0,0,,0,0,1
1,1,1,1,0,1,,0,0,1
1,1,1,1,0,0,,0,0,1
1,1,1,0,0,0,,1,1,1
1,1,1,0,0,0,,1,1,1
1,1,1,0,0,0,1,0,0,0
1,1,0,1,0,0,,0,0,1
1,1,1,1,0,1,,0,0,1
1,1,1,1,0,0,,0,0,1
1,1,1,1,0,1,1,0,0,0
1,1,1,1,0,1,,0,0,1
1,1,1,1,0,1,,0,0,0
1,1,1,1,0,1,,-9,-9,1
1,1,0,1,0,0,,0,0,1
1,1,1,1,0,1,,-9,-9,1
1,1,1,1,0,1,,-9,-9,-9
1,1,1,1,0,1,,0,1,1
1,1,1,1,0,0,,0,1,1
1,1,1,1,0,1,,0,0,0
1,1,0,1,0,0,,0,0,1
1,1,1,1,0,-9,0,-9,-9,-9
1,1,1,0,0,0,,0,0,0
1,1,1,0,0,0,1,-9,-9,-9
1,1,1,0,0,0,1,-9,-9,-9
1,1,1,0,0,0,1,-9,-9,-9
1,1,1,0,0,0,1,-9,-9,-9
1,1,1,0,0,0,1,-9,-9,-9
1,1,1,0,0,0,1,-9,-9,-9
1,1,1,0,0,0,1,-9,-9,-9
1,1,1,0,0,0,1,-9,-9,-9
1,1,1,1,0,0,,0,0,1
1,1,0,1,0,0,,0,0,1
1,1,1,1,0,1,,-9,-9,1
1,1,1,1,0,1,,-9,-9,1
1,1,1,1,0,1,,-9,-9,1
1,1,1,1,0,1,,-9,-9,-9
1,1,1,0,0,0,,-9,-9,1
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,0,0,0,0,-9,-9,-9
1,1,1,1,0,0,,0,0,1
1,1,1,1,0,1,,0,0,0
1,1,0,1,0,1,,0,0,1
1,1,1,1,0,1,,-9,-9,1
1,1,1,1,0,1,,1,1,1
1,1,1,1,0,1,,1,1,1
1,1,1,1,0,1,,0,0,0
1,1,1,1,0,1,,0,0,0
1,1,1,1,0,1,,0,0,0
1,1,1,1,0,1,,0,0,1
1,1,1,1,0,0,,0,0,0
1,1,1,1,0,0,,0,0,1
1,1,1,1,0,0,,0,0,1
1,1,1,1,0,1,,0,0,1
1,1,0,1,0,1,,0,0,1
1,1,0,1,0,0,,0,0,1
1,1,1,0,0,0,0,-9,-9,-9
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,0,0,0,0,0,0,0
1,1,1,1,0,1,,0,1,1
1,1,1,1,0,1,,1,0,1
1,1,1,1,0,1,,0,0,1
1,1,1,0,0,0,,-9,-9,1
1,1,1,1,0,1,,1,1,1
1,1,1,1,0,1,,0,0,1
1,1,1,1,0,1,,1,1,1
1,1,1,1,0,0,,0,0,1
1,1,1,1,0,1,,-9,-9,1
1,1,0,1,0,1,,0,0,1
1,1,0,1,0,0,,0,0,1
1,1,1,1,0,1,,0,0,0
1,1,0,1,0,0,,0,0,1
1,1,0,1,0,0,,0,0,1
1,1,1,1,0,0,,0,0,1
1,1,1,0,0,0,,0,1,1
1,1,1,0,0,1,,0,0,1
1,1,1,1,0,1,,1,1,1
1,1,0,1,0,1,,1,0,1
1,1,1,1,0,1,,1,0,1
1,1,1,1,0,0,,1,1,1
1,1,1,1,0,1,,0,0,0
1,1,0,1,0,0,,0,0,1
1,1,1,1,0,0,,0,0,1
1,1,1,1,0,1,,1,1,1
1,1,1,1,0,1,,1,1,1
1,1,1,1,0,1,,1,1,1
1,1,0,1,0,0,,0,0,1
1,1,0,1,0,1,,0,0,0
1,1,0,1,0,0,,0,0,1
1,1,1,1,0,1,,0,0,0
1,1,1,1,0,1,,0,0,0
1,1,1,1,0,1,,0,0,0
1,1,1,0,0,1,,0,0,1
1,1,1,1,0,1,,0,0,1
1,1,0,1,0,0,,0,0,1
1,1,0,1,0,0,,0,0,1
1,1,1,1,0,1,1,0,0,0
1,1,1,1,0,0,,0,0,1
1,1,1,1,0,0,,0,0,1
1,1,1,1,0,0,,0,0,1
1,1,0,1,0,1,,0,0,1
1,1,1,1,0,1,,0,0,1
1,0,1,1,0,1,0,0,0,0
1,1,0,1,0,1,,0,0,0
1,1,1,1,0,1,,0,1,1
1,1,1,1,0,1,,0,0,1
1,1,0,1,0,0,,0,0,1
1,1,1,1,0,0,,0,1,1
1,1,0,1,0,1,,0,0,1
1,1,1,0,0,0,,0,0,1
1,1,0,1,0,0,,0,1,1
1,0,1,1,0,0,,0,0,1
1,1,0,1,0,1,,-9,-9,1
1,1,0,1,0,1,,-9,-9,1
1,1,1,1,0,1,,0,0,1
1,1,1,1,0,1,,1,1,1
1,1,1,1,0,1,,0,1,1
1,1,0,1,0,1,,0,0,1
1,1,1,1,0,0,,0,0,1
1,1,1,0,0,1,,-9,-9,1
1,1,1,1,0,1,,1,1,1
1,1,1,1,0,1,1,0,1,1
1,1,0,1,0,0,,0,0,1
1,1,0,1,0,0,,0,0,0
1,1,0,1,0,1,,0,0,1
1,1,0,1,0,1,,-9,-9,1
1,1,0,0,0,1,,-9,-9,1
1,1,1,1,0,1,,0,0,0
1,1,1,1,0,1,,0,0,1
1,1,0,1,0,0,,0,0,1
1,1,1,1,0,0,,0,0,1
1,1,0,1,0,0,,0,0,1
1,1,0,1,0,1,,0,0,1
1,1,1,1,0,1,1,0,0,0
1,1,0,1,0,0,,0,0,1
1,1,1,1,0,0,,0,0,1
1,1,0,1,0,1,,-9,-9,-9
1,1,1,1,0,0,,-9,-9,1
1,1,0,1,0,0,,0,0,1
1,1,0,0,0,1,,-9,-9,1
1,1,1,1,0,1,,0,0,1
1,1,1,1,0,1,,0,0,1
1,1,1,1,0,1,,0,1,1
1,1,1,1,0,1,,-9,-9,-9
1,1,1,1,0,1,,-9,-9,-9
1,1,1,1,0,1,,0,0,0
1,1,1,1,0,1,,-9,-9,1
1,1,1,1,0,1,,-9,-9,1
1,1,1,1,0,0,,0,0,0
1,1,0,0,0,0,,-9,-9,-9
1,1,1,0,0,1,,-9,-9,1
1,1,1,1,0,0,,-9,-9,1
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,1,0,1,,-9,-9,-9
1,1,1,1,0,0,,1,1,1
1,1,0,1,0,1,,-9,-9,-9
1,1,1,1,0,1,0,-9,-9,-9
1,1,0,1,0,1,,0,1,1
1,1,0,1,0,0,,0,0,1
1,1,1,1,0,1,,0,1,1
1,1,1,1,0,1,,0,1,1
1,1,1,1,0,1,,0,1,1
1,1,1,1,0,1,,0,1,1
1,1,1,1,0,1,,0,1,1
1,1,1,1,0,0,,-9,-9,1
1,1,1,1,0,0,,0,0,1
1,1,0,1,0,0,,0,0,1
1,1,1,1,0,1,,-9,-9,1
1,1,1,1,0,0,,-9,-9,1
1,1,1,1,0,0,,-9,-9,1
1,1,1,1,0,1,,0,1,1
1,1,0,1,0,0,,0,0,1
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,1,0,0,,0,0,1
1,1,0,1,0,0,,0,0,1
1,1,1,1,0,1,,0,0,0
1,1,1,1,0,1,,0,0,0
1,1,1,1,0,1,,0,1,1
1,1,1,1,0,1,,0,0,0
1,1,1,1,0,0,,0,0,1
1,1,1,1,0,1,1,0,0,0
1,1,0,1,0,0,,0,0,1
1,1,1,1,0,1,0,0,0,0
1,1,1,0,0,0,1,0,0,0
1,1,0,1,0,0,,0,0,1
1,1,1,1,0,0,,-9,-9,1
1,1,1,0,0,0,,0,0,1
1,1,0,1,0,0,,0,0,1
1,1,1,1,0,0,,0,0,1
1,1,1,1,0,1,0,0,0,0
1,1,0,1,0,1,,0,1,1
1,1,1,1,0,1,,-9,-9,1
1,1,1,1,0,1,,-9,-9,1
1,1,1,1,0,1,,-9,-9,1
1,1,1,1,0,1,,-9,-9,1
1,1,1,1,0,1,,-9,-9,-9
1,1,1,1,0,1,,0,0,1
1,1,1,1,0,0,,-9,-9,-9
1,1,0,1,0,1,,-9,-9,-9
1,1,1,1,0,0,,0,0,1
1,1,1,1,0,1,0,-9,-9,-9
1,1,1,1,0,0,,0,0,1
1,1,1,0,0,1,,0,0,1
1,1,1,1,0,0,,0,0,1
1,1,1,1,0,1,,1,1,1
1,1,0,1,0,1,,0,0,1
1,1,0,1,0,0,,0,0,1
1,1,0,0,0,0,,0,1,1
1,1,1,1,0,1,,-9,-9,1
1,1,1,1,0,1,,0,1,1
1,1,1,1,0,1,,-9,-9,1
1,1,1,1,0,1,,-9,-9,-9
1,1,1,1,0,1,,-9,-9,1
1,1,1,1,0,1,,0,1,1
1,1,1,1,0,0,,0,0,0
1,1,1,1,0,1,,0,0,0
1,1,0,1,0,1,,0,0,1
1,1,1,1,0,0,,-9,-9,1
1,1,0,1,0,0,,0,0,1
1,1,0,1,0,0,,0,0,1
1,1,0,1,0,0,,0,0,1
1,1,1,1,0,0,,0,0,1
1,1,1,1,0,1,,0,1,1
1,1,1,1,0,1,,0,1,1
1,1,0,1,0,0,,0,0,1
1,1,1,1,0,1,,-9,-9,1
1,1,1,1,0,0,,-9,-9,1
1,1,1,1,0,0,,-9,-9,1
